recall,precision
0.233014,0.997525
0.233769,0.994321
0.234504,0.997525
0.235259,0.994321
0.235994,0.997525
0.236749,0.994321
0.237484,0.997525
0.238238,0.994321
0.238973,0.997525
0.239728,0.994321
0.240463,0.997525
0.241218,0.994321
0.241953,0.997525
0.242708,0.994321
0.243443,0.997525
0.244198,0.994321
0.244928,0.999126
0.245683,0.995923
0.245692,0.99312
0.246423,0.997525
0.247178,0.994321
0.247908,0.999126
0.248663,0.995923
0.248671,0.99312
0.249403,0.997525
0.250158,0.994321
0.250888,0.999126
0.251643,0.995923
0.251651,0.99312
0.252383,0.997525
0.253137,0.994321
0.253868,0.999126
0.254622,0.995923
0.254631,0.99312
0.255362,0.997525
0.256117,0.994321
0.256847,0.999126
0.257602,0.995923
0.257611,0.99312
0.258342,0.997525
0.259097,0.994321
0.259827,0.999126
0.260582,0.995923
0.260591,0.99312
0.261322,0.997525
0.262077,0.994321
0.262807,0.999126
0.263562,0.995923
0.263571,0.99312
0.264302,0.997525
0.265057,0.994321
0.265787,0.999126
0.266542,0.995923
0.26655,0.99312
0.267282,0.997525
0.268037,0.994321
0.268767,0.999126
0.269521,0.995923
0.26953,0.99312
0.270261,0.997525
0.271016,0.994321
0.271746,0.999126
0.272501,0.995923
0.27251,0.99312
0.273241,0.997525
0.273996,0.994321
0.274726,0.999126
0.275481,0.995923
0.27549,0.99312
0.276221,0.997525
0.276976,0.994321
0.277706,0.999126
0.278461,0.995923
0.27847,0.99312
0.279201,0.997525
0.279956,0.994321
0.280686,0.999126
0.281441,0.995923
0.281449,0.99312
0.282181,0.997525
0.282936,0.994321
0.283666,0.999126
0.284421,0.995923
0.284429,0.99312
0.285161,0.997525
0.285915,0.994321
0.286645,0.999126
0.2874,0.995923
0.287409,0.99312
0.28814,0.997525
0.288895,0.994321
0.289625,0.999126
0.29038,0.995923
0.290389,0.99312
0.29112,0.997525
0.291875,0.994321
0.292605,0.999126
0.29336,0.995923
0.293369,0.99312
0.2941,0.997525
0.294855,0.994321
0.295585,0.999126
0.29634,0.995923
0.296348,0.99312
0.29708,0.997525
0.297835,0.994321
0.298565,0.999126
0.29932,0.995923
0.299328,0.99312
0.30006,0.997525
0.300814,0.994321
0.301545,0.999126
0.302299,0.995923
0.302308,0.99312
0.303039,0.997525
0.303794,0.994321
0.304524,0.999126
0.305279,0.995923
0.305288,0.99312
0.306019,0.997525
0.306774,0.994321
0.307504,0.999126
0.308259,0.995923
0.308268,0.99312
0.308999,0.997525
0.309754,0.994321
0.310484,0.999126
0.311239,0.995923
0.311247,0.99312
0.311979,0.997525
0.312734,0.994321
0.313464,0.999126
0.314219,0.995923
0.314227,0.99312
0.314959,0.997525
0.315713,0.994321
0.316444,0.999126
0.317198,0.995923
0.317207,0.99312
0.317938,0.997525
0.318693,0.994321
0.319423,0.999126
0.320178,0.995923
0.320187,0.99312
0.320918,0.997525
0.321673,0.994321
0.322403,0.999126
0.323158,0.995923
0.323167,0.99312
0.323898,0.997525
0.324653,0.994321
0.325383,0.999126
0.326138,0.995923
0.326147,0.99312
0.326878,0.997525
0.327633,0.994321
0.328363,0.999126
0.329118,0.995923
0.329126,0.99312
0.329858,0.997525
0.330613,0.994321
0.331343,0.999126
0.332097,0.995923
0.332107,0.992719
0.332837,0.997525
0.333592,0.994321
0.334322,0.999126
0.335077,0.995923
0.335087,0.992719
0.335817,0.997525
0.336572,0.994321
0.337302,0.999126
0.338057,0.995923
0.338067,0.992719
0.338797,0.997525
0.339552,0.994321
0.340282,0.999126
0.341037,0.995923
0.341047,0.992719
0.341777,0.997525
0.342532,0.994321
0.343262,0.999126
0.344017,0.995923
0.344027,0.992719
0.344757,0.997525
0.345512,0.994321
0.346242,0.999126
0.346997,0.995923
0.347006,0.992719
0.347737,0.997525
0.348491,0.994321
0.349222,0.999126
0.349976,0.995923
0.349986,0.992719
0.350716,0.997525
0.351471,0.994321
0.352201,0.999126
0.352956,0.995923
0.352966,0.992719
0.353696,0.997525
0.354451,0.994321
0.355181,0.999126
0.355936,0.995923
0.355946,0.992719
0.356676,0.997525
0.357431,0.994321
0.358161,0.999126
0.358916,0.995923
0.358926,0.992719
0.359656,0.997525
0.360411,0.994321
0.361141,0.999126
0.361896,0.995923
0.361905,0.992719
0.362636,0.997525
0.36339,0.994321
0.364121,0.999126
0.364875,0.995923
0.364885,0.992719
0.365615,0.997525
0.36637,0.994321
0.3671,0.999126
0.367855,0.995923
0.367865,0.992719
0.368595,0.997525
0.36935,0.994321
0.37008,0.999126
0.370835,0.995923
0.370845,0.992719
0.371575,0.997525
0.37233,0.994321
0.37306,0.999126
0.373815,0.995923
0.373825,0.992719
0.37455,0.999126
0.375429,0.995923
0.375316,0.992319
0.376042,0.998326
0.376797,0.995122
0.376807,0.991918
0.377532,0.998326
0.378288,0.994722
0.378298,0.991518
0.37977,0.997525
0.379779,0.994321
0.379789,0.991118
0.381262,0.996724
0.381272,0.99352
0.381282,0.990317
0.382757,0.995122
0.382767,0.991918
0.384242,0.996724
0.384252,0.99352
0.384261,0.990317
0.385737,0.995122
0.385746,0.991918
0.387222,0.996724
0.387231,0.99352
0.387241,0.990317
